zid,traffic_percent,geometry
27409825,92.31,"POLYGON ((44.0131461972063 56.31804539603626, 44.013030330351356 56.322536967152764, 44.021113560858346 56.32260109606107, 44.021228479140554 56.31810951411388, 44.0131461972063 56.31804539603626))"
27409826,92.68,"POLYGON ((44.013030330351356 56.322536967152764, 44.01291443023316 56.32702853483456, 44.020998609585085 56.327092674576086, 44.021113560858346 56.32260109606107, 44.013030330351356 56.322536967152764))"
27409827,95.98,"POLYGON ((44.01291443023316 56.32702853483456, 44.01279849683859 56.331520099081764, 44.02088362530773 56.33158424965906, 44.020998609585085 56.327092674576086, 44.01291443023316 56.32702853483456))"
27409828,97.55,"POLYGON ((44.01279849683859 56.331520099081764, 44.01268253015449 56.33601165989458, 44.020768608013256 56.336075821310175, 44.02088362530773 56.33158424965906, 44.01279849683859 56.331520099081764))"
27409846,93.8,"POLYGON ((44.02180257614109 56.29565155288969, 44.02168782261905 56.300143152000125, 44.0297663459081 56.30020669994973, 44.02988015220375 56.29571509011019, 44.02180257614109 56.29565155288969))"
27409847,93.25,"POLYGON ((44.02168782261905 56.300143152000125, 44.021573036170956 56.30463474767763, 44.02965250695807 56.304698306358844, 44.0297663459081 56.30020669994973, 44.02168782261905 56.300143152000125))"
27409848,92.76,"POLYGON ((44.021573036170956 56.30463474767763, 44.02145821678385 56.30912633992231, 44.02953863534078 56.30918990933765, 44.02965250695807 56.304698306358844, 44.021573036170956 56.30463474767763))"
27409849,93.97,"POLYGON ((44.02145821678385 56.30912633992231, 44.02134336444472 56.31361792873434, 44.02942473104334 56.31368150888631, 44.02953863534078 56.30918990933765, 44.02145821678385 56.30912633992231))"
27409850,94.83,"POLYGON ((44.02134336444472 56.31361792873434, 44.021228479140554 56.31810951411388, 44.02931079405285 56.318173105005, 44.02942473104334 56.31368150888631, 44.02134336444472 56.31361792873434))"
27409851,93.21,"POLYGON ((44.021228479140554 56.31810951411388, 44.021113560858346 56.32260109606107, 44.029196824356404 56.322664697693874, 44.02931079405285 56.318173105005, 44.021228479140554 56.31810951411388))"
27409852,92.63,"POLYGON ((44.021113560858346 56.32260109606107, 44.020998609585085 56.327092674576086, 44.029082821941095 56.32715628695308, 44.029196824356404 56.322664697693874, 44.021113560858346 56.32260109606107))"
27409853,96.36,"POLYGON ((44.020998609585085 56.327092674576086, 44.02088362530773 56.33158424965906, 44.02896878679399 56.331647872782746, 44.029082821941095 56.32715628695308, 44.020998609585085 56.327092674576086))"
27409854,97.26,"POLYGON ((44.02088362530773 56.33158424965906, 44.020768608013256 56.336075821310175, 44.02885471890218 56.336139455183094, 44.02896878679399 56.331647872782746, 44.02088362530773 56.33158424965906))"
