cell_zid,geometry,percentage passability
109840,"MULTIPOLYGON (((37.60760932184772 55.75200085084052, 37.60762168743504 55.75649229947873, 37.615586532118165 55.75648506727664, 37.61557325138569 55.75199361984997, 37.60760932184772 55.75200085084052)))",2.0885566983107475
109841,"MULTIPOLYGON (((37.61557325138569 55.75199361984997, 37.615586532118165 55.75648506727664, 37.62355137109546 55.756477318937854, 37.623537175219504 55.75198587280918, 37.61557325138569 55.75199361984997)))",2.3803014892784127
109842,"MULTIPOLYGON (((37.623537175219504 55.75198587280918, 37.62355137109546 55.756477318937854, 37.631516207996256 55.75646905445913, 37.63150109697815 55.75197760971489, 37.623537175219504 55.75198587280918)))",2.1868421552032014
109843,"MULTIPOLYGON (((37.63150109697815 55.75197760971489, 37.631516207996256 55.75646905445913, 37.63948104158922 55.75646027384173, 37.63946501543053 55.75196883056845, 37.63150109697815 55.75197760971489)))",1.9961752644572048
109844,"MULTIPOLYGON (((37.63946501543053 55.75196883056845, 37.63948104158922 55.75646027384173, 37.647445869670904 55.75645097708846, 37.647428928373486 55.75195953537258, 37.63946501543053 55.75196883056845)))",0.7642319011347404
110420,"MULTIPOLYGON (((37.58372713438036 55.756510899247466, 37.58373675724457 55.761002345503506, 37.59170252803715 55.76099666076715, 37.591691989765145 55.75650521546347, 37.58372713438036 55.756510899247466)))",1.012520005149493
110421,"MULTIPOLYGON (((37.591691989765145 55.75650521546347, 37.59170252803715 55.76099666076715, 37.5996682919598 55.76099046145185, 37.5996568382774 55.75649901554243, 37.591691989765145 55.75650521546347)))",0.5824153460831734
110422,"MULTIPOLYGON (((37.5996568382774 55.75649901554243, 37.5996682919598 55.76099046145185, 37.60763405652315 55.76098374426281, 37.60762168743504 55.75649229947873, 37.5996568382774 55.75649901554243)))",0.848840084577979
110423,"MULTIPOLYGON (((37.60762168743504 55.75649229947873, 37.60763405652315 55.76098374426281, 37.615599816610526 55.760976510848906, 37.615586532118165 55.75648506727664, 37.60762168743504 55.75649229947873)))",2.0409740338673217
110424,"MULTIPOLYGON (((37.615586532118165 55.75648506727664, 37.615599816610526 55.760976510848906, 37.62356557099039 55.76096876121182, 37.62355137109546 55.756477318937854, 37.615586532118165 55.75648506727664)))",2.4375579752551895
