zid,traffic_percent,geometry
67972838,86.63,"POLYGON ((37.663315116587164 55.74504278681304, 37.66316152865535 55.74953422125923, 37.67112489807647 55.74962060117821, 37.67127757176349 55.74512915226296, 37.663315116587164 55.74504278681304))"
67972839,86.66,"POLYGON ((37.66316152865535 55.74953422125923, 37.66300789722996 55.75402565212001, 37.67097218115453 55.75411204651133, 37.67112489807647 55.74962060117821, 37.66316152865535 55.74953422125923))"
67972840,84.87,"POLYGON ((37.66300789722996 55.75402565212001, 37.6628542222941 55.75851707939545, 37.6708194209809 55.75860348826246, 37.67097218115453 55.75411204651133, 37.66300789722996 55.75402565212001))"
67972841,85.92,"POLYGON ((37.6628542222941 55.75851707939545, 37.66270050383091 55.763008503085665, 37.670666617538814 55.76309492643166, 37.6708194209809 55.75860348826246, 37.6628542222941 55.75851707939545))"
67972842,84.47,"POLYGON ((37.66270050383091 55.763008503085665, 37.66254674182349 55.767499923190734, 37.67051377081147 55.767586361019056, 37.670666617538814 55.76309492643166, 37.66270050383091 55.763008503085665))"
67972843,86.61,"POLYGON ((37.66254674182349 55.767499923190734, 37.66239293625496 55.77199133971076, 37.670360880782084 55.772077792024724, 37.67051377081147 55.767586361019056, 37.66254674182349 55.767499923190734))"
67972855,90.5,"POLYGON ((37.671735333582575 55.73165478402359, 37.671582789499794 55.736146243685745, 37.67954346014684 55.73623206455302, 37.67969509074352 55.73174059051806, 37.671735333582575 55.73165478402359))"
67972856,90.54,"POLYGON ((37.671582789499794 55.736146243685745, 37.67143020223235 55.740637699765514, 37.679391786623874 55.74072353500889, 37.67954346014684 55.73623206455302, 37.671582789499794 55.736146243685745))"
67972857,86.65,"POLYGON ((37.67143020223235 55.740637699765514, 37.67127757176349 55.74512915226296, 37.67924007015798 55.74521500188572, 37.679391786623874 55.74072353500889, 37.67143020223235 55.740637699765514))"
67972858,86.1,"POLYGON ((37.67127757176349 55.74512915226296, 37.67112489807647 55.74962060117821, 37.67908831073251 55.74970646518365, 37.67924007015798 55.74521500188572, 37.67127757176349 55.74512915226296))"
67972859,85.24,"POLYGON ((37.67112489807647 55.74962060117821, 37.67097218115453 55.75411204651133, 37.67893650833079 55.75419792490277, 37.67908831073251 55.74970646518365, 37.67112489807647 55.74962060117821))"
67972860,85.57,"POLYGON ((37.67097218115453 55.75411204651133, 37.6708194209809 55.75860348826246, 37.67878466293616 55.75868938104317, 37.67893650833079 55.75419792490277, 37.67097218115453 55.75411204651133))"
67972861,85.47,"POLYGON ((37.6708194209809 55.75860348826246, 37.670666617538814 55.76309492643166, 37.67863277453196 55.76318083360497, 37.67878466293616 55.75868938104317, 37.6708194209809 55.75860348826246))"
67972862,86.72,"POLYGON ((37.670666617538814 55.76309492643166, 37.67051377081147 55.767586361019056, 37.67848084310149 55.76767228258823, 37.67863277453196 55.76318083360497, 37.670666617538814 55.76309492643166))"
67972863,86.0,"POLYGON ((37.67051377081147 55.767586361019056, 37.670360880782084 55.772077792024724, 37.678328868628064 55.77216372799308, 37.67848084310149 55.76767228258823, 37.67051377081147 55.767586361019056))"
